award_id,award_cat_id,award_name,award_desc,award_icon_url,award_img_url,award_displayorder,award_allowrequest,award_active,award_allowrecommend,award_pointvalue
5,3,PS2 Loyal Soldier,Awarded for earning either BR 120 or ASP Access in Planetside 2,/forums/images/awards/ps2-loyal.png,/forums/images/awards/ps2-loyal.png,800,0,1,0,0
6,3,PS2 Thunderdome Champion,"",/forums/images/awards/ps2_thunderdome.png,/forums/images/awards/ps2_thunderdome.png,801,0,1,0,0
16,3,War Thunder - All Star Contributor,"A member that has gone beyond the normal means of helping out the WT division. This can be bringing incredible amounts of members to the division, helping NCO and Non-NCO and alike, creating events or helping out in events",/forums/images/awards/wt-all-star-contributor.png,/forums/images/awards/wt-all-star-contributor.png,1306,0,1,0,0
18,2,AOD - 5 Years of Service,Member has been in AOD for at least 5 years.,/forums/images/awards/aod_5year.png,/forums/images/awards/aod_5year.png,1,0,1,0,0
19,2,AOD - 10 Years of Service,Member has been in AOD for at least 10 years,/forums/images/awards/aod_10year.png,/forums/images/awards/aod_10year.png,2,0,1,0,0
22,3,JK Master Trainer,"",/forums/images/awards/jk-trainer-sm.png,/forums/images/awards/jk-trainer-lg.png,600,0,1,0,0
23,3,JK Great Recruiter,Has sent at least 3 people to apply,/forums/images/awards/jk-recruiter-sm.png,/forums/images/awards/jk-recruiter-lg.png,601,0,1,0,0
24,3,JK Great Serious Sunday Captain,Has won Serious Sunday at least 3 times as a Captain,/forums/images/awards/jk-serious-sunday-cpt-sm.png,/forums/images/awards/jk-serious-sunday-cpt-lg.png,602,0,1,0,0
25,3,JK Serious Sunday MVP,Got MVP on Serious Sunday at least 3 times,/forums/images/awards/jk-serious-sunday-mvp-sm.png,/forums/images/awards/jk-serious-sunday-mvp-lg.png,603,0,1,0,0
28,3,JK Saber Tournament Champion,Won a Saber Tournament,/forums/images/awards/jk-saber-sm.png,/forums/images/awards/jk-saber-lg.png,606,0,1,0,0
30,3,JK Melee Tournament Champion,Won a Melee Tournament,/forums/images/awards/jk-melee-sm.png,/forums/images/awards/jk-melee-lg.png,608,0,1,0,0
32,3,JK Jedi/Sith Force Tournament Winner,"",/forums/images/awards/jk-force-sm.png,/forums/images/awards/jk-force-lg.png,610,0,1,0,0
41,3,PS2 Reaper Group Member,Member of AOD PlanetSide 2 competitive team.,/forums/images/awards/ps2_reapers.png,/forums/images/awards/ps2_reapers.png,802,0,1,0,0
42,3,Battlefield League Season Champion,Awarded to the highest scoring squad on the winning team in a season of the AOD Battlefield League.,/forums/images/awards/bf-league-champ.png,/forums/images/awards/bf-league-champ.png,150,0,1,0,0
43,3,Battlefield CO Invitational Winner,Awarded to winners of Battlefield's CO Invitational Events and lasts until the next event.,/forums/images/awards/bf-co-invitational-v3.png,/forums/images/awards/bf-co-invitational-v3.png,151,0,1,0,0
44,3,JK Sniper Tournament Champion,Won a Sniper Tournament,/forums/images/awards/jk-sniper-sm.png,/forums/images/awards/jk-sniper-lg.png,611,0,1,0,0
45,3,JK Pistol Tournament Champion,Won a Pistol Tournament,/forums/images/awards/jk-pistol-sm.png,/forums/images/awards/jk-pistol-lg.png,612,0,1,0,0
46,3,JK Racing Tournament Champion,Has won a Racing Tournament,/forums/images/awards/jk-racing-sm.png,/forums/images/awards/jk-racing-lg.png,605,0,1,0,0
56,3,Battlefield XO Challenge,Awarded to winners of Battlefield's XO Challenge Events and lasts until the next event.,/forums/images/awards/bf-xo.png,/forums/images/awards/bf-xo.png,152,0,1,0,0
58,3,Battlefield Shitbucket Award,Awarded to members who have achieved max rank in a Battlefield game.,/forums/images/awards/bf-shitbucket-sm.png,/forums/images/awards/bf-shitbucket-lg.png,153,0,1,0,0
68,3,PS2 Zerg Herder,Award to members that have gained the Commander helmet,/forums/images/awards/ps2-zerg.png,/forums/images/awards/ps2-zerg.png,803,0,1,0,0
71,3,JK Legacy Badge,"",/forums/images/awards/jk-legacy.png,/forums/images/awards/jk-legacy.png,613,0,1,0,0
76,3,War Thunder - Seal Of Awesomeness,Awarded to winners of a War Thunder contest,/forums/images/awards/wt_awesomeness.png,/forums/images/awards/wt_awesomeness.png,1308,0,1,0,0
98,3,Battlefield PTFO Master,"Earn 3 of the 4 Playercard Tags: “Battle Scarred”, ""Disseminator"", ""Battle Angel"", and ""Architect of War""",/forums/images/awards/bf-ptfo-new.png,/forums/images/awards/bf-ptfo-new.png,154,0,1,0,0
99,3,Battlefield Gear Gremlin,Earn Tier 1 with any 3 pieces of Gear,/forums/images/awards/bf-gear-gremlin.png,/forums/images/awards/bf-gear-gremlin.png,155,0,1,0,0
100,3,Battlefield Master-at-Arms,"Earn Tier 1 with 8 Weapons, or Mastery 350 with a Single Weapon",/forums/images/awards/bf-master-at-arms.png,/forums/images/awards/bf-master-at-arms.png,156,0,1,0,0
101,3,Battlefield Super Soldier,Reach Tier 1 with 4 Specialists,/forums/images/awards/bf-super-soldier.png,/forums/images/awards/bf-super-soldier.png,157,0,1,0,0
102,3,Battlefield Heavy Metal Maniac,"Earn Tier 1 with any 2 Vehicles, or Mastery 20 on any 4 Vehicles",/forums/images/awards/bf-heavy-metal-maniac.png,/forums/images/awards/bf-heavy-metal-maniac.png,158,0,1,0,0
104,3,Destiny 2 Pathfinder,Awarded to members of the pathfinder group who actively lead raids.,/forums/images/awards/d2-pathfinder.png,/forums/images/awards/d2-pathfinder.png,300,0,1,0,0
126,3,World of Warships - Operation Galore,"Complete the following Operations with 5 stars;
Defense of Naval Station Newport
Aegis
Raptor Rescue
Narai
Killer Whale",/forums/images/awards/WoWS_Operations_Galore.png,/forums/images/awards/WoWS_Operations_Galore.png,1500,0,1,0,0
127,3,World of Warships - Collection Collector,"Complete the following Collections;
American Cruisers
Yamamoto Isoroku
Five Epochs of the Navy
Naval Aviation (Must buy one coal container)
In Service of the Motherland (Must buy one coal container)
Royal Navy Destroyers (Must buy one coal container)""",/forums/images/awards/WoWS_Collection_Collector.png,/forums/images/awards/WoWS_Collection_Collector.png,1501,0,1,0,0
135,3,Call of Duty - Dedicated Soldier,Awarded to members who have reached Master Prestige during the duration of the current season of Call of Duty.,/forums/images/awards/cod-dedicated-soldier.png,/forums/images/awards/cod-dedicated-soldier.png,280,0,1,0,0
136,3,Call of Duty - Gilded Guns,Awarded to members who earn Gold on all primary weapons,/forums/images/awards/cod-gilded.png,/forums/images/awards/cod-gilded.png,281,0,1,0,0
139,2,AOD - 15 Years of Service,Member has been in AOD for at least 15 years.,/forums/images/awards/aod_15year.png,/forums/images/awards/aod_15year.png,3,0,1,0,0
140,2,AOD - 20 Years of Service,Member has been in AOD for at least 20 years.,/forums/images/awards/aod_20year.png,/forums/images/awards/aod_20year.png,4,0,1,0,0
147,3,Destiny 2 - Dredgen,Awarded to Guardians who earn the title of 'Dredgen'.,/forums/images/awards/d2-dredgen.png,/forums/images/awards/d2-dredgen.png,302,0,1,0,0
149,3,Destiny 2 - Cursebreaker,Awarded to Guardians who earn the title of 'Cursebreaker'.,/forums/images/awards/d2-cursebreaker.png,/forums/images/awards/d2-cursebreaker.png,304,0,1,0,0
151,3,Destiny 2 - Rivensbane,Awarded to Guardians who earn the title of 'Rivensbane'.,/forums/images/awards/d2-rivensbane.png,/forums/images/awards/d2-rivensbane.png,306,0,1,0,0
