issue_id,award_id,userid,issue_reason,issue_time
50,19,3427,"",1387810201
51,19,3407,"",1387810247
52,19,3419,"",1387810270
94,19,3443,"",1387810889
99,19,3543,"",1387810961
100,19,3438,"",1387810969
217,18,8997,5 years with AOD!,1401636436
235,5,24276,Achieved maximum rank of 100 in PS2.,1404511980
285,5,27590,Achieved maximum rank of 100 in PS2.,1408848060
295,5,21697,Achieved maximum rank of 100 in PS2.,1409688807
321,22,8997,"",1410804989
329,23,8997,"",1410805150
335,24,8997,"",1410805295
336,24,8162,"",1410805304
363,5,25996,Achieved maximum rank of 100 in PS2.,1412192280
405,19,3469,10 Years!,1414107816
437,5,21842,Achieved maximum rank of 100 in PS2.,1415491845
446,41,24276,Retired Reaper - Mother of all Special Forces.,1416258600
453,41,20923,Member of the Reaper Operation Group,1416275760
456,41,25996,Retired Reaper,1416325800
604,25,8997,"",1424107538
632,5,24693,Achieved maximum rank of 100 in PS2.,1426023552
754,5,29232,Achieved maximum rank of 100 in PS2,1428842911
763,18,10264,5 Years!,1428966968
778,5,21805,Achieved maximum rank of 100 in PS2.,1430108755
782,44,8997,"",1430603400
784,19,34478,"",1430860635
803,18,10502,Member has been a member of AOD for 5 years! Congratulations!!,1432787399
807,5,27758,Achieved maximum rank of 100 in PS2.,1433299440
811,19,3510,"",1434069936
916,5,26520,Achieved maximum rank of 100 in PS2.,1436321376
918,5,33044,Achieved maximum rank of 100 in PS2.,1436408717
1158,41,24693,Retired Reaper,1448154180
1199,32,8997,"",1449376615
1242,19,3563,"",1450326151
1257,41,21842,Retired Reaper,1450754640
1453,28,8997,won his own tournament what a grease ball.,1460840535
1510,18,15189,5 years in AOD Congratz,1463525875
1601,18,15725,Commemorating 5 Years of AOD membership.,1468866086
1676,68,25996,WarBoss with Commander Helmet,1474377316
1677,68,21842,WarBoss with Commander Helmet,1474377413
1688,68,26520,WarBoss with Commander Helmet,1474380201
1690,68,27590,WarBoss with Commander Helmet,1474384944
1763,19,3716,"",1474813330
1809,68,33819,WarBoss with Commander Helmet,1475132760
1933,18,17836,5 Years Woot,1481951408
1937,18,17724,5 years with AOD!  WOO!,1482352544
1938,18,17730,5 years with AOD!  WOO!,1482352562
2301,19,48618,"",1497805916
2421,5,39290,Reached BR120 (Max Rank)in Planetside 2,1503238081
2426,18,19955,5 years with AOD!,1503408008
2427,18,20004,5 years with AOD!,1503408029
2699,18,20285,5 years!  YAY!,1511361618
2705,18,20755,5 years!  YAY!,1511361782
2750,18,21576,5 years with AOD,1514662225
2772,68,48920,WarBoss with Commander Helmet,1515386871
2816,18,21805,"",1517357818
2976,41,30010,Retired member of the Reaper Operation Group.,1520279280
2988,18,22160,5 Years,1520968700
3034,18,9647,Time spent in AOD,1521513566
3035,25,9647,Previous Award,1521513677
3036,23,9647,Previous Award,1521513691
3037,22,9647,Previous Award,1521513710
3078,18,21439,5 Years with AOD!  HOT DAMN OTAKU!,1523104924
3079,18,21441,5 Years with AOD!  WOOT VAYNARD!,1523104951
3085,18,21697,5 Years with AOD!,1523105088
3087,18,21842,5 Years with AOD!,1523105167
3109,18,1,15 Years!  10 yr award + 5 yr award = 15 year award! 15 years (at least for these forums)!,1523314227
3110,18,3407,15 Years!  10 yr award + 5 yr award = 15 year award! 15 years (at least for these forums)!,1523314298
3111,18,17242,15 Years!  10 yr award + 5 yr award = 15 year award! 15 years (at least for these forums)!,1523314340
3112,18,3419,15 Years!  10 yr award + 5 yr award = 15 year award! 15 years (at least for these forums)!,1523314364
3306,18,23671,"Just think, 5 more years til we have the Star Citizen division!",1529536515
